TKT,DTK,TK,Size
0.02,0.00,0.95,149.00
0.02,0.25,0.95,236.00
0.02,0.50,0.95,
0.02,0.75,0.95,
0.02,1.00,0.95,
0.02,1.25,0.95,
0.02,1.50,0.95,
0.02,1.75,0.95,
0.02,2.00,0.95,
0.02,2.25,0.95,
0.02,2.50,0.95,
0.02,2.75,0.95,
0.02,3.00,0.95,
0.02,3.25,0.95,
0.02,3.50,0.95,
0.02,3.75,0.95,
0.02,4.00,0.95,
0.02,5.00,0.95,
0.02,6.00,0.95,
0.02,7.00,0.95,
0.03,0.00,0.95,99.00
0.03,0.25,0.95,157.00
0.03,0.50,0.95,157.00
0.03,0.75,0.95,208.00
0.03,1.00,0.95,
0.03,1.25,0.95,
0.03,1.50,0.95,
0.03,1.75,0.95,
0.03,2.00,0.95,
0.03,2.25,0.95,
0.03,2.50,0.95,
0.03,2.75,0.95,
0.03,3.00,0.95,
0.03,3.25,0.95,
0.03,3.50,0.95,
0.03,3.75,0.95,
0.03,4.00,0.95,
0.03,5.00,0.95,
0.03,6.00,0.95,
0.03,7.00,0.95,
0.04,0.00,0.95,74.00
0.04,0.25,0.95,117.00
0.04,0.50,0.95,117.00
0.04,0.75,0.95,117.00
0.04,1.00,0.95,156.00
0.04,1.25,0.95,156.00
0.04,1.50,0.95,192.00
0.04,1.75,0.95,227.00
0.04,2.00,0.95,
0.04,2.25,0.95,
0.04,2.50,0.95,
0.04,2.75,0.95,
0.04,3.00,0.95,
0.04,3.25,0.95,
0.04,3.50,0.95,
0.04,3.75,0.95,
0.04,4.00,0.95,
0.04,5.00,0.95,
0.04,6.00,0.95,
0.04,7.00,0.95,
0.05,0.00,0.95,59.00
0.05,0.25,0.95,93.00
0.05,0.50,0.95,93.00
0.05,0.75,0.95,93.00
0.05,1.00,0.95,93.00
0.05,1.25,0.95,124.00
0.05,1.50,0.95,124.00
0.05,1.75,0.95,153.00
0.05,2.00,0.95,181.00
0.05,2.25,0.95,208.00
0.05,2.50,0.95,
0.05,2.75,0.95,
0.05,3.00,0.95,
0.05,3.25,0.95,
0.05,3.50,0.95,
0.05,3.75,0.95,
0.05,4.00,0.95,
0.05,5.00,0.95,
0.05,6.00,0.95,
0.05,7.00,0.95,
0.06,0.00,0.95,49.00
0.06,0.25,0.95,78.00
0.06,0.50,0.95,78.00
0.06,0.75,0.95,78.00
0.06,1.00,0.95,78.00
0.06,1.25,0.95,78.00
0.06,1.50,0.95,103.00
0.06,1.75,0.95,103.00
0.06,2.00,0.95,127.00
0.06,2.25,0.95,127.00
0.06,2.50,0.95,150.00
0.06,2.75,0.95,173.00
0.06,3.00,0.95,195.00
0.06,3.25,0.95,
0.06,3.50,0.95,
0.06,3.75,0.95,
0.06,4.00,0.95,
0.06,5.00,0.95,
0.06,6.00,0.95,
0.06,7.00,0.95,
0.07,0.00,0.95,42.00
0.07,0.25,0.95,66.00
0.07,0.50,0.95,66.00
0.07,0.75,0.95,66.00
0.07,1.00,0.95,66.00
0.07,1.25,0.95,66.00
0.07,1.50,0.95,66.00
0.07,1.75,0.95,88.00
0.07,2.00,0.95,88.00
0.07,2.25,0.95,88.00
